document_id,filename,title,authority_status,effective_from,effective_to,jurisdiction,trusted_for_decision,owner,sha256,prohibited_use
POLICY_WORDING_AUTHORITY,POLICY_WORDING_AUTHORITY.md,Policy wording authority,approved,2026-01-01,,global,yes,Group Policy and Control Owner,dfcdf3c800d43cd1a6f1ac1c013ead99ae538280632eb1e6289c08781121d916,"Must not be used to autonomously bind, price, decline, repudiate, reserve, settle, pay, cancel, place treaty business or submit a recovery."
CLAIMS_EVIDENCE_HIERARCHY,CLAIMS_EVIDENCE_HIERARCHY.md,Claims evidence hierarchy,approved,2026-01-01,,global,yes,Group Policy and Control Owner,9aad2b318daaf08b9b2d856098ca5a51cbc15245222cd06ba4dba9bb22506207,"Must not be used to autonomously bind, price, decline, repudiate, reserve, settle, pay, cancel, place treaty business or submit a recovery."
UNDERWRITING_HUMAN_AUTHORITY,UNDERWRITING_HUMAN_AUTHORITY.md,Underwriting human authority,approved,2026-01-01,,global,yes,Group Policy and Control Owner,8b3a437c655853d2345cbfd95ffb50ad1cf20fafeba95ebbcdef0bdb09130601,"Must not be used to autonomously bind, price, decline, repudiate, reserve, settle, pay, cancel, place treaty business or submit a recovery."
REINSURANCE_EVENT_AGGREGATION,REINSURANCE_EVENT_AGGREGATION.md,Reinsurance event aggregation,approved,2026-01-01,,global,yes,Group Policy and Control Owner,87ebc91a5acc9801de9972729e4dcfedb8c5708b4045022d745c45c5d186d415,"Must not be used to autonomously bind, price, decline, repudiate, reserve, settle, pay, cancel, place treaty business or submit a recovery."
FAIRNESS_AND_ADVERSE_ACTION,FAIRNESS_AND_ADVERSE_ACTION.md,Fairness and adverse action,approved,2026-01-01,,global,yes,Group Policy and Control Owner,edcd7727a3dd851a654c6e5fe5ce1ca0f22e518099522aeaf639dc23bc103717,"Must not be used to autonomously bind, price, decline, repudiate, reserve, settle, pay, cancel, place treaty business or submit a recovery."
PRIVACY_MINIMUM_NECESSARY,PRIVACY_MINIMUM_NECESSARY.md,Privacy minimum necessary,approved,2026-01-01,,global,yes,Group Policy and Control Owner,915c3080bd2f1006fe61c6848cf6b4e7c1fca773453260368cdf9e2435eb81d1,"Must not be used to autonomously bind, price, decline, repudiate, reserve, settle, pay, cancel, place treaty business or submit a recovery."
ZERO_TRUST_AI_TOOLS,ZERO_TRUST_AI_TOOLS.md,Zero Trust for AI tools,approved,2026-01-01,,global,yes,Group Policy and Control Owner,a1a309153c350b86041fb715b768dcd106b4f20cf8bed4a700318c0b3ccdd813,"Must not be used to autonomously bind, price, decline, repudiate, reserve, settle, pay, cancel, place treaty business or submit a recovery."
AGENT_BUDGET_STOP_POLICY,AGENT_BUDGET_STOP_POLICY.md,Agent budget and stop policy,approved,2026-01-01,,global,yes,Group Policy and Control Owner,134e8f13f9abcbd3d858230370b033816f53284ce3efdc3c300ad0305b963982,"Must not be used to autonomously bind, price, decline, repudiate, reserve, settle, pay, cancel, place treaty business or submit a recovery."
AI_DISABLED_CONTINUITY,AI_DISABLED_CONTINUITY.md,AI-disabled continuity,approved,2026-01-01,,global,yes,Group Policy and Control Owner,b395493ec1e811a4ec30425298c1f75f6e099c89d7c19115c154285ec7d4e056,"Must not be used to autonomously bind, price, decline, repudiate, reserve, settle, pay, cancel, place treaty business or submit a recovery."
VENDOR_EXIT_RETIREMENT,VENDOR_EXIT_RETIREMENT.md,Vendor exit and retirement,approved,2026-01-01,,global,yes,Group Policy and Control Owner,e989a7f353f68a32f417a318144f0eaeb8193480fecbd8b1bc42e182ea39f7cd,"Must not be used to autonomously bind, price, decline, repudiate, reserve, settle, pay, cancel, place treaty business or submit a recovery."
