dataset,column,inferred_type,non_null_count,distinct_count,description
access_cache.csv,user_id,string,2,2,Synthetic field `user_id` in access_cache.csv; interpret using case context and authority controls.
access_cache.csv,cached_status,string,2,1,Synthetic field `cached_status` in access_cache.csv; interpret using case context and authority controls.
access_cache.csv,cached_at,datetime_or_date,2,2,Synthetic field `cached_at` in access_cache.csv; interpret using case context and authority controls.
access_cache.csv,ttl_minutes,number,2,2,Synthetic field `ttl_minutes` in access_cache.csv; interpret using case context and authority controls.
access_cache.csv,gateway,string,2,1,Synthetic field `gateway` in access_cache.csv; interpret using case context and authority controls.
access_policies.csv,record_id,string,5,5,Synthetic field `record_id` in access_policies.csv; interpret using case context and authority controls.
access_policies.csv,entity_id,string,5,4,Synthetic field `entity_id` in access_policies.csv; interpret using case context and authority controls.
access_policies.csv,event_time,datetime_or_date,5,5,Synthetic field `event_time` in access_policies.csv; interpret using case context and authority controls.
access_policies.csv,status,string,5,5,Synthetic field `status` in access_policies.csv; interpret using case context and authority controls.
access_policies.csv,value,string,5,5,Synthetic field `value` in access_policies.csv; interpret using case context and authority controls.
access_policies.csv,source_system,string,5,5,Synthetic field `source_system` in access_policies.csv; interpret using case context and authority controls.
access_policies.csv,jurisdiction,string,5,5,Synthetic field `jurisdiction` in access_policies.csv; interpret using case context and authority controls.
access_policies.csv,notes,string,5,5,Synthetic field `notes` in access_policies.csv; interpret using case context and authority controls.
acord_messages.csv,record_id,string,5,5,Synthetic field `record_id` in acord_messages.csv; interpret using case context and authority controls.
acord_messages.csv,entity_id,string,5,4,Synthetic field `entity_id` in acord_messages.csv; interpret using case context and authority controls.
acord_messages.csv,event_time,datetime_or_date,5,5,Synthetic field `event_time` in acord_messages.csv; interpret using case context and authority controls.
acord_messages.csv,status,string,5,5,Synthetic field `status` in acord_messages.csv; interpret using case context and authority controls.
acord_messages.csv,value,string,5,5,Synthetic field `value` in acord_messages.csv; interpret using case context and authority controls.
acord_messages.csv,source_system,string,5,5,Synthetic field `source_system` in acord_messages.csv; interpret using case context and authority controls.
acord_messages.csv,jurisdiction,string,5,5,Synthetic field `jurisdiction` in acord_messages.csv; interpret using case context and authority controls.
acord_messages.csv,notes,string,5,5,Synthetic field `notes` in acord_messages.csv; interpret using case context and authority controls.
addresses.csv,record_id,string,5,5,Synthetic field `record_id` in addresses.csv; interpret using case context and authority controls.
addresses.csv,entity_id,string,5,4,Synthetic field `entity_id` in addresses.csv; interpret using case context and authority controls.
addresses.csv,event_time,datetime_or_date,5,5,Synthetic field `event_time` in addresses.csv; interpret using case context and authority controls.
addresses.csv,status,string,5,5,Synthetic field `status` in addresses.csv; interpret using case context and authority controls.
addresses.csv,value,string,5,5,Synthetic field `value` in addresses.csv; interpret using case context and authority controls.
addresses.csv,source_system,string,5,5,Synthetic field `source_system` in addresses.csv; interpret using case context and authority controls.
addresses.csv,jurisdiction,string,5,5,Synthetic field `jurisdiction` in addresses.csv; interpret using case context and authority controls.
addresses.csv,notes,string,5,5,Synthetic field `notes` in addresses.csv; interpret using case context and authority controls.
adjusters.csv,record_id,string,4,4,Synthetic field `record_id` in adjusters.csv; interpret using case context and authority controls.
adjusters.csv,entity_id,string,4,4,Synthetic field `entity_id` in adjusters.csv; interpret using case context and authority controls.
adjusters.csv,event_time,datetime_or_date,4,4,Synthetic field `event_time` in adjusters.csv; interpret using case context and authority controls.
adjusters.csv,status,string,4,4,Synthetic field `status` in adjusters.csv; interpret using case context and authority controls.
adjusters.csv,value,string,4,4,Synthetic field `value` in adjusters.csv; interpret using case context and authority controls.
adjusters.csv,source_system,string,4,4,Synthetic field `source_system` in adjusters.csv; interpret using case context and authority controls.
adjusters.csv,jurisdiction,string,4,4,Synthetic field `jurisdiction` in adjusters.csv; interpret using case context and authority controls.
adjusters.csv,notes,string,4,4,Synthetic field `notes` in adjusters.csv; interpret using case context and authority controls.
agent_runs.csv,record_id,string,5,5,Synthetic field `record_id` in agent_runs.csv; interpret using case context and authority controls.
agent_runs.csv,entity_id,string,5,4,Synthetic field `entity_id` in agent_runs.csv; interpret using case context and authority controls.
agent_runs.csv,event_time,datetime_or_date,5,5,Synthetic field `event_time` in agent_runs.csv; interpret using case context and authority controls.
agent_runs.csv,status,string,5,5,Synthetic field `status` in agent_runs.csv; interpret using case context and authority controls.
agent_runs.csv,value,string,5,5,Synthetic field `value` in agent_runs.csv; interpret using case context and authority controls.
agent_runs.csv,source_system,string,5,5,Synthetic field `source_system` in agent_runs.csv; interpret using case context and authority controls.
agent_runs.csv,jurisdiction,string,5,5,Synthetic field `jurisdiction` in agent_runs.csv; interpret using case context and authority controls.
agent_runs.csv,notes,string,5,5,Synthetic field `notes` in agent_runs.csv; interpret using case context and authority controls.
agriculture_locations.csv,record_id,string,4,4,Synthetic field `record_id` in agriculture_locations.csv; interpret using case context and authority controls.
agriculture_locations.csv,entity_id,string,4,4,Synthetic field `entity_id` in agriculture_locations.csv; interpret using case context and authority controls.
agriculture_locations.csv,event_time,datetime_or_date,4,4,Synthetic field `event_time` in agriculture_locations.csv; interpret using case context and authority controls.
agriculture_locations.csv,status,string,4,4,Synthetic field `status` in agriculture_locations.csv; interpret using case context and authority controls.
agriculture_locations.csv,value,string,4,4,Synthetic field `value` in agriculture_locations.csv; interpret using case context and authority controls.
agriculture_locations.csv,source_system,string,4,4,Synthetic field `source_system` in agriculture_locations.csv; interpret using case context and authority controls.
agriculture_locations.csv,jurisdiction,string,4,4,Synthetic field `jurisdiction` in agriculture_locations.csv; interpret using case context and authority controls.
agriculture_locations.csv,notes,string,4,4,Synthetic field `notes` in agriculture_locations.csv; interpret using case context and authority controls.
ai_use_boundaries.csv,record_id,string,5,5,Synthetic field `record_id` in ai_use_boundaries.csv; interpret using case context and authority controls.
ai_use_boundaries.csv,entity_id,string,5,4,Synthetic field `entity_id` in ai_use_boundaries.csv; interpret using case context and authority controls.
ai_use_boundaries.csv,event_time,datetime_or_date,5,5,Synthetic field `event_time` in ai_use_boundaries.csv; interpret using case context and authority controls.
ai_use_boundaries.csv,status,string,5,5,Synthetic field `status` in ai_use_boundaries.csv; interpret using case context and authority controls.
ai_use_boundaries.csv,value,string,5,5,Synthetic field `value` in ai_use_boundaries.csv; interpret using case context and authority controls.
ai_use_boundaries.csv,source_system,string,5,5,Synthetic field `source_system` in ai_use_boundaries.csv; interpret using case context and authority controls.
ai_use_boundaries.csv,jurisdiction,string,5,5,Synthetic field `jurisdiction` in ai_use_boundaries.csv; interpret using case context and authority controls.
ai_use_boundaries.csv,notes,string,5,5,Synthetic field `notes` in ai_use_boundaries.csv; interpret using case context and authority controls.
appeals.csv,record_id,string,4,4,Synthetic field `record_id` in appeals.csv; interpret using case context and authority controls.
appeals.csv,entity_id,string,4,4,Synthetic field `entity_id` in appeals.csv; interpret using case context and authority controls.
appeals.csv,event_time,datetime_or_date,4,4,Synthetic field `event_time` in appeals.csv; interpret using case context and authority controls.
appeals.csv,status,string,4,4,Synthetic field `status` in appeals.csv; interpret using case context and authority controls.
appeals.csv,value,string,4,4,Synthetic field `value` in appeals.csv; interpret using case context and authority controls.
appeals.csv,source_system,string,4,4,Synthetic field `source_system` in appeals.csv; interpret using case context and authority controls.
appeals.csv,jurisdiction,string,4,4,Synthetic field `jurisdiction` in appeals.csv; interpret using case context and authority controls.
