inject_id,evidence_record_id,source_path,source_locator,source_exists,source_sha256,required_for_public_fixture
INJ-001,INJ-001-E01,data/board_requests.csv,record_id=INJ-001-BOARD_REQUESTS,yes,d1e16158bb33bf0f6b9b1e96fd531e1b1ce960276a771cfd4bf8d9455ea8f759,yes
INJ-001,INJ-001-E02,data/kpi_conflicts.csv,record_id=INJ-001-KPI_CONFLICTS,yes,2b95fb5c2fc1fa7887fbb63e9dba14d053c04df866e53d0b075f89ecdb027ef3,yes
INJ-002,INJ-002-E01,data/no_ai_baselines.csv,record_id=INJ-002-NO_AI_BASELINES,yes,8d1c0df4da62f862c4f611723cfdce824367ed3a78e1584129e5783992fe35cc,yes
INJ-002,INJ-002-E02,data/process_bottlenecks.csv,record_id=INJ-002-PROCESS_BOTTLENECKS,yes,3a472093c2e5456b4c8f8e2478b87fb18736cd6c11ff5712e24495620e8d8612,yes
INJ-003,INJ-003-E01,data/legal_entities.csv,record_id=INJ-003-LEGAL_ENTITIES,yes,d50e2fb5ca1f5565b926627a6cb57912b2626ba715ab84253bb3768f36435242,yes
INJ-003,INJ-003-E02,data/strategy_conflicts.csv,record_id=INJ-003-STRATEGY_CONFLICTS,yes,b4772527baddd3e7a321dcd7a9e930439f389213e443ab08b5721ebee3357bff,yes
INJ-004,INJ-004-E01,data/legal_entities.csv,record_id=INJ-004-LEGAL_ENTITIES,yes,d50e2fb5ca1f5565b926627a6cb57912b2626ba715ab84253bb3768f36435242,yes
INJ-004,INJ-004-E02,data/system_inventory.csv,record_id=INJ-004-SYSTEM_INVENTORY,yes,5e66f64c0bb13a1905a44c482be2b90cfcfb7eb3f3df5c10229ab503c1f383fe,yes
INJ-005,INJ-005-E01,data/ai_use_boundaries.csv,record_id=INJ-005-AI_USE_BOUNDARIES,yes,ab5468398fd85ed5f692eb6f04720be0b9ce8ea844a50266e45101f4ca426269,yes
INJ-005,INJ-005-E02,data/decision_rights.csv,record_id=INJ-005-DECISION_RIGHTS,yes,7b721ae17b5345c51a247099c5872fcac7562d76a4ed9aafe308a6d70efdd1e1,yes
INJ-006,INJ-006-E01,data/cost_model.csv,record_id=INJ-006-COST_MODEL,yes,3453253e2a82b14c8bed66ece74165600253efb98a6f5761ac7b9d7e9be3b1fd,yes
INJ-006,INJ-006-E02,data/staff_rates.csv,record_id=INJ-006-STAFF_RATES,yes,8284cdc86043afe1f4c9e5202f2d9c0e299ded913abed66a844c51c807b186e8,yes
INJ-007,INJ-007-E01,data/policy_products.csv,record_id=INJ-007-POLICY_PRODUCTS,yes,8532a2673782db88943ad6289c1f196723583ef8b2d89ee139930216ce66efeb,yes
INJ-007,INJ-007-E02,data/policy_wording_versions.csv,file-level; participant must select controlling record(s),yes,e6e9b9e8856613d030680e67bc1f064ed16a65a12df6b46fc32b931745cb426b,yes
INJ-008,INJ-008-E01,data/policies.csv,file-level; participant must select controlling record(s),yes,4cb86047f65c816619a05ced54c11b6b4d64cca72de1b557547ca5b4cd8d4ec5,yes
INJ-008,INJ-008-E02,data/endorsements.csv,file-level; participant must select controlling record(s),yes,3fb401391c00e798d0ff0a443ab6662db12c9e5d4c875be7a7cf8706a5e67afc,yes
INJ-009,INJ-009-E01,data/binder_events.csv,record_id=INJ-009-BINDER_EVENTS,yes,6aaacae0271f0a168d65bedf28e9e8323a321ac75ca8a1fc1c977f99545c04ae,yes
INJ-009,INJ-009-E02,data/delegated_authorities.csv,record_id=INJ-009-DELEGATED_AUTHORITIES,yes,ba71649e56fb5c12823c7828d94c218e3d0b28bad6dc4e1a90ea4d0f2e2b7bc0,yes
INJ-010,INJ-010-E01,data/policies.csv,file-level; participant must select controlling record(s),yes,4cb86047f65c816619a05ced54c11b6b4d64cca72de1b557547ca5b4cd8d4ec5,yes
INJ-010,INJ-010-E02,data/billing_events.csv,record_id=INJ-010-BILLING_EVENTS,yes,effecc1b9553191dac13e4ec21db65af4f660097ee29e64721653bfe44a36579,yes
INJ-011,INJ-011-E01,data/group_policies.csv,record_id=INJ-011-GROUP_POLICIES,yes,da2bc449605218145f23e5c3b60151eeb1692fb39ffca2cd7c60ecaea2a25228,yes
INJ-011,INJ-011-E02,data/member_certificates.csv,record_id=INJ-011-MEMBER_CERTIFICATES,yes,fb3d2a0f99ee138f83cf037c5843544eda3bc25262cd84259b4a559b1c145cf5,yes
INJ-012,INJ-012-E01,data/parametric_contracts.csv,record_id=INJ-012-PARAMETRIC_CONTRACTS,yes,d2fc97a628ab9b98387ae3211e9774e796ecbe61e3e8ad6011c3c28e709e530c,yes
INJ-012,INJ-012-E02,data/marketing_materials.csv,record_id=INJ-012-MARKETING_MATERIALS,yes,dfe97bec3db24f465083cf905586e9bc627ec684fe91004ec072fcf289abc90a,yes
INJ-013,INJ-013-E01,data/pricing_factors.csv,record_id=INJ-013-PRICING_FACTORS,yes,1508ee3207cc91660e2e12a20424c00f02f00c68d877f25f2fba565b1bc94566,yes
INJ-013,INJ-013-E02,data/fairness_metrics.csv,file-level; participant must select controlling record(s),yes,28c9f78d5533bd8f821b9c8f6c78f89d7069c5fbf8c23ec917e83af1d4e52158,yes
INJ-014,INJ-014-E01,data/telematics_events.csv,record_id=INJ-014-TELEMATICS_EVENTS,yes,e6c82f6a220643e1433882d20434d9b63ca836bd520eb4cf2747a93d54462bec,yes
INJ-014,INJ-014-E02,data/device_firmware.csv,record_id=INJ-014-DEVICE_FIRMWARE,yes,bdeadbbba49c06ff55228937ffe94434e0567c4c0d48e2e75e8f84c9b9510f88,yes
INJ-015,INJ-015-E01,data/cat_models.csv,record_id=INJ-015-CAT_MODELS,yes,a2d63001fad2703d8f17b62da6697efc268e43109aac73d7dd8d39ab49e81048,yes
INJ-015,INJ-015-E02,data/exposure_aggregates.csv,record_id=INJ-015-EXPOSURE_AGGREGATES,yes,cc7992391d2ead1fdbbe2b57ba71266eb06062153a3ac4829c1d645f8aae8081,yes
INJ-016,INJ-016-E01,data/life_applications.csv,record_id=INJ-016-LIFE_APPLICATIONS,yes,cd1ce315c4abf686b55fbd5aef8cdc0e9fb589a29d7bf0b3da7ebc2f1e2ec39c,yes
INJ-016,INJ-016-E02,data/medical_evidence.csv,record_id=INJ-016-MEDICAL_EVIDENCE,yes,442067b5114fda980fa70fb856dec156f195012ea667eb6df299c892506bd3ce,yes
INJ-017,INJ-017-E01,data/external_data_sources.csv,record_id=INJ-017-EXTERNAL_DATA_SOURCES,yes,6087ab9ea690f2f8e5b0800a09bdf467a08be5031b199610c497d465de1817cc,yes
INJ-017,INJ-017-E02,data/data_licenses.csv,record_id=INJ-017-DATA_LICENSES,yes,0b4f3bb8192344c1e772148cfde05cbaac9460e728797669cdc3b231d6f39121,yes
INJ-018,INJ-018-E01,data/quotes.csv,record_id=INJ-018-QUOTES,yes,5524c0a02cde84618aaaa4d55c08ac68524dfe3d1865d70c1923e42c5489e5cb,yes
