rule_id,dataset,columns
UK-001,claims.csv,claim_id
UK-002,policies.csv,policy_id
UK-003,endorsements.csv,endorsement_id
UK-004,parties.csv,party_id
UK-005,cat_events.csv,event_id
UK-006,users_entitlements.csv,user_id
UK-007,model_registry.csv,model_id
UK-008,model_artifacts.csv,model_id
UK-009,reinsurance_treaties.csv,treaty_id
UK-010,knowledge_catalog.csv,document_id
UK-011,knowledge_catalog.csv,filename
UK-012,fairness_metrics.csv,model_id+subgroup
UK-013,model_performance.csv,model_id+segment
UK-014,party_roles.csv,party_id+role+context_id
UK-015,inject_evidence_records.csv,evidence_record_id
UK-016,loss_events.csv,loss_event_id
